epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,167.935,0.00385,0.00717,0.41809,0.87117,0.98034,0.69565,0.82256,0.49697,0.91857,0.65217,0.73745,0.29458,0.00969,0.03768,1.36212,1.66087,0.000945055,0.000945055,0.000945055
113,169.229,0.00383,0.00665,0.39931,0.88287,0.9858,0.69565,0.81295,0.5244,0.9233,0.65217,0.75356,0.35863,0.00936,0.03728,1.60333,1.66647,0.00094456,0.00094456,0.00094456
114,170.485,0.00328,0.00586,0.37746,0.85418,0.89507,0.74186,0.83251,0.51326,0.84314,0.70133,0.73348,0.38938,0.00958,0.03724,1.4074,1.66665,0.000944065,0.000944065,0.000944065
115,171.684,0.0036,0.00611,0.40655,0.86859,0.94729,0.7815,0.86866,0.55301,0.89471,0.73893,0.78615,0.42225,0.00875,0.03363,1.2437,1.51004,0.00094357,0.00094357,0.00094357
116,173.099,0.00364,0.00532,0.3874,0.86963,0.97272,0.65217,0.82946,0.50803,0.97272,0.65217,0.82946,0.40474,0.00894,0.03274,1.37314,1.51634,0.000943075,0.000943075,0.000943075
117,174.364,0.00384,0.00601,0.42292,0.87453,0.79551,0.67711,0.76606,0.49359,0.70757,0.7365,0.79385,0.3842,0.00961,0.03023,1.47332,1.61475,0.00094258,0.00094258,0.00094258
118,175.492,0.00385,0.00622,0.40011,0.87881,0.72269,0.68031,0.72917,0.48368,0.68346,0.75134,0.76094,0.36006,0.00954,0.02765,1.65486,1.58136,0.000942085,0.000942085,0.000942085
119,176.687,0.00363,0.0063,0.39797,0.87504,0.74113,0.6087,0.69553,0.47128,0.68249,0.56522,0.6792,0.33503,0.00888,0.027,1.65897,1.54187,0.00094159,0.00094159,0.00094159
120,178.038,0.00381,0.00699,0.4022,0.89265,0.76082,0.56522,0.68101,0.5025,0.76082,0.56522,0.70115,0.36269,0.00985,0.02742,2.11806,1.63508,0.000941095,0.000941095,0.000941095
121,179.582,0.00357,0.00711,0.40569,0.86512,0.73404,0.60035,0.65016,0.47359,0.73404,0.60035,0.65016,0.38163,0.01022,0.0282,2.34223,1.73957,0.0009406,0.0009406,0.0009406
122,180.816,0.00338,0.00551,0.37294,0.86676,0.80615,0.54314,0.62901,0.41293,0.80615,0.54314,0.63591,0.37217,0.01055,0.02805,2.70618,1.65521,0.000940105,0.000940105,0.000940105
123,182.257,0.00412,0.00773,0.42321,0.94334,0.71721,0.44147,0.5958,0.37477,0.71721,0.44147,0.60465,0.34115,0.01117,0.02786,2.96821,1.71198,0.00093961,0.00093961,0.00093961
124,183.4,0.00368,0.00623,0.40679,0.86819,0.67455,0.3913,0.58955,0.33344,0.7002,0.40692,0.59529,0.34886,0.01136,0.02832,3.19834,1.74326,0.000939115,0.000939115,0.000939115
125,184.62,0.00385,0.00708,0.39926,0.88484,1,0.41579,0.5952,0.35405,1,0.41579,0.59865,0.37265,0.01134,0.02895,3.37352,1.76822,0.00093862,0.00093862,0.00093862
